,0,1,2,3,4,5,6,7,8,9,10,11
35,0101010200000010020,林野面積,,3,2,1,ha,1980CY00,9999CY00,,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
36,0101010200000010020,林野面積,,3,3,1,ha,1980CY00,9999CY00,,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
37,0101010200000010030,森林面積,,3,2,1,ha,1980CY00,9999CY00,森林面積=木材が集団的に生育している土地及びその土地の上にある立木竹，あるいは木竹の集団的な生育に供される土地の面積。,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
38,0101010200000010030,森林面積,,3,3,1,ha,1980CY00,9999CY00,森林面積=木材が集団的に生育している土地及びその土地の上にある立木竹，あるいは木竹の集団的な生育に供される土地の面積。,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
39,0101010200000010040,森林以外の草生地面積,,3,2,1,ha,1980CY00,9999CY00,,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
40,0101010200000010040,森林以外の草生地面積,,3,3,1,ha,1980CY00,9999CY00,,1980年，1990年及び2000年は8月1日現在，1985年は1月1日現在，2010年以降は2月1日現在。,社会･人口統計体系
41,0101010200000010050,自然環境保全地域面積,,3,2,1,ha,1976CY00,9999CY00,自然環境保全地域面積=ほとんど人の手が加わっていない原生の状態が保たれている地域や優れた自然環境を維持している地域の面積。,3月31日現在。,社会･人口統計体系
42,0101010200000010050,自然環境保全地域面積,,3,3,1,ha,1976CY00,9999CY00,自然環境保全地域面積=ほとんど人の手が加わっていない原生の状態が保たれている地域や優れた自然環境を維持している地域の面積。,3月31日現在。,社会･人口統計体系
43,0101010400000010000,評価総地積（課税対象土地）,,3,2,1,㎡,1976CY00,9999CY00,評価総地積（課税対象土地）=固定資産税の課税客体とされた土地の面積の合計。,1月1日現在。,社会･人口統計体系
44,0101010400000010000,評価総地積（課税対象土地）,,3,3,1,㎡,1976CY00,9999CY00,評価総地積（課税対象土地）=固定資産税の課税客体とされた土地の面積の合計。,1月1日現在。,社会･人口統計体系
45,0101010400000010000,評価総地積（課税対象土地）,,3,4,1,㎡,2001CY00,9999CY00,評価総地積（課税対象土地）=固定資産税の課税客体とされた土地の面積の合計。,1月1日現在。,社会･人口統計体系
46,0101010400000010010,評価総地積（田）,,3,2,1,㎡,1976CY00,9999CY00,評価総地積（田）=課税対象土地のうち田の面積。,1月1日現在。,社会･人口統計体系
47,0101010400000010010,評価総地積（田）,,3,3,1,㎡,1976CY00,9999CY00,評価総地積（田）=課税対象土地のうち田の面積。,1月1日現在。,社会･人口統計体系
48,0101010400000010020,評価総地積（畑）,,3,2,1,㎡,1976CY00,9999CY00,評価総地積（畑）=課税対象土地のうち畑の面積。,1月1日現在。,社会･人口統計体系
49,0101010400000010020,評価総地積（畑）,,3,3,1,㎡,1976CY00,9999CY00,評価総地積（畑）=課税対象土地のうち畑の面積。,1月1日現在。,社会･人口統計体系
50,0101010400000010030,評価総地積（宅地）,,3,2,1,㎡,1976CY00,9999CY00,評価総地積（宅地）=課税対象土地のうち宅地の面積。,1月1日現在。,社会･人口統計体系
51,0101010400000010030,評価総地積（宅地）,,3,3,1,㎡,1976CY00,9999CY00,評価総地積（宅地）=課税対象土地のうち宅地の面積。,1月1日現在。,社会･人口統計体系
52,0101010400000010030,評価総地積（宅地）,,3,4,1,㎡,2001CY00,9999CY00,評価総地積（宅地）=課税対象土地のうち宅地の面積。,1月1日現在。,社会･人口統計体系
53,0101010400000010040,評価総地積（山林）,,3,2,1,㎡,1976CY00,2007CY00,評価総地積（山林）=課税対象土地のうち山林の面積。,1月1日現在。,社会･人口統計体系
54,0101010400000010040,評価総地積（山林）,,3,3,1,㎡,1976CY00,2007CY00,評価総地積（山林）=課税対象土地のうち山林の面積。,1月1日現在。,社会･人口統計体系
55,0101010400000010050,評価総地積（牧場）,,3,2,1,㎡,1976CY00,2007CY00,評価総地積（牧場）=課税対象土地のうち牧場の面積。,1月1日現在。,社会･人口統計体系
56,0101010400000010050,評価総地積（牧場）,,3,3,1,㎡,1976CY00,2007CY00,評価総地積（牧場）=課税対象土地のうち牧場の面積。,1月1日現在。,社会･人口統計体系
57,0101010400000010060,評価総地積（原野）,,3,2,1,㎡,1976CY00,2007CY00,評価総地積（原野）=課税対象土地のうち原野の面積。,1月1日現在。,社会･人口統計体系
58,0101010400000010060,評価総地積（原野）,,3,3,1,㎡,1976CY00,2007CY00,評価総地積（原野）=課税対象土地のうち原野の面積。,1月1日現在。,社会･人口統計体系
59,0101010400000010070,評価総地積（その他）,,3,2,1,㎡,1976CY00,2007CY00,評価総地積（その他）=課税対象土地のうちその他の面積。,1月1日現在。,社会･人口統計体系
60,0101010400000010070,評価総地積（その他）,,3,3,1,㎡,1976CY00,2007CY00,評価総地積（その他）=課税対象土地のうちその他の面積。,1月1日現在。,社会･人口統計体系
61,0101010501000010020,人工造林面積,,3,2,1,ha,2000CY00,2007CY00,,,社会･人口統計体系
62,0101010501000010020,人工造林面積,,3,3,1,ha,2000CY00,2007CY00,,,社会･人口統計体系
63,0101010600000010000,自然公園面積,,3,2,1,ha,1976CY00,9999CY00,自然公園面積=自然風景地の保護とともに自然とのふれあいを図ることを目的として指定される地域の面積。,3月31日現在。,社会･人口統計体系
64,0101010600000010000,自然公園面積,,3,3,1,ha,1976CY00,9999CY00,自然公園面積=自然風景地の保護とともに自然とのふれあいを図ることを目的として指定される地域の面積。,3月31日現在。,社会･人口統計体系
65,0101010600000010010,都道府県立自然公園数,,3,2,1,箇所,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
66,0101010600000010010,都道府県立自然公園数,,3,3,1,箇所,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
67,0101010600000010020,都道府県立自然公園面積,,3,2,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
68,0101010600000010020,都道府県立自然公園面積,,3,3,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
69,0101010600000010030,国立公園面積,,3,2,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
70,0101010600000010030,国立公園面積,,3,3,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
71,0101010600000010040,国定公園面積,,3,2,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
72,0101010600000010040,国定公園面積,,3,3,1,ha,1976CY00,9999CY00,,3月31日現在。,社会･人口統計体系
73,0101010700000020010,植生自然度１（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
74,0101010700000020010,植生自然度１（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
75,0101010700000020020,植生自然度２（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
76,0101010700000020020,植生自然度２（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
77,0101010700000020030,植生自然度３（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
78,0101010700000020030,植生自然度３（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
79,0101010700000020040,植生自然度４（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
80,0101010700000020040,植生自然度４（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
81,0101010700000020050,植生自然度５（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
82,0101010700000020050,植生自然度５（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
83,0101010700000020060,植生自然度６（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
84,0101010700000020060,植生自然度６（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
85,0101010700000020070,植生自然度７（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
86,0101010700000020070,植生自然度７（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
87,0101010700000020080,植生自然度８（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
88,0101010700000020080,植生自然度８（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
89,0101010700000020090,植生自然度９（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
90,0101010700000020090,植生自然度９（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
91,0101010700000020100,植生自然度１０（構成比）,,3,2,1,%,1988CY00,1997CY00,,,社会･人口統計体系
92,0101010700000020100,植生自然度１０（構成比）,,3,3,1,%,1988CY00,1997CY00,,,社会･人口統計体系
93,0101010800000010010,水路面積,,3,2,1,万ｈａ,2014CY00,9999CY00,,水面・河川・水路。,土地白書 
94,0101020101000010000,[標高]富士山＜剣ヶ峯＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。;火山。,日本統計年鑑
95,0101020101040010010,[標高]間ノ岳（白根山）,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
96,0101020101040010020,[標高]赤石岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
97,0101020101040010030,[標高]荒川岳＜中岳＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
98,0101020101040010040,[標高]大喰岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
99,0101020101040010050,[標高]奥穂高岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
100,0101020101040010060,[標高]御嶽山＜剣ヶ峰＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。;火山。,日本統計年鑑
101,0101020101040010070,[標高]涸沢岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
102,0101020101040010080,[標高]北岳（白根山）,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
103,0101020101040010090,[標高]北穂高岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
104,0101020101040010100,[標高]塩見岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
105,0101020101040010110,[標高]仙丈ヶ岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
106,0101020101040010120,[標高]中岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
107,0101020101040010130,[標高]農鳥岳＜西農鳥岳＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
108,0101020101040010140,[標高]乗鞍岳＜剣ヶ峰＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。;火山。,日本統計年鑑
109,0101020101040010150,[標高]東岳（悪沢岳）,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
110,0101020101040010160,[標高]聖岳＜前聖岳＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
111,0101020101040010170,[標高]前穂高岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
112,0101020101040010180,[標高]南岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
113,0101020101040010190,[標高]槍ヶ岳,,3,2,1,m,2018CY00,9999CY00,,注釈に山の所在都道府県を記載。,日本統計年鑑
114,0101020101050010010,[標高]立山＜大汝山＞,,3,2,1,m,2018CY00,9999CY00,山=< >内はその山に複数の山頂がある場合の最高峰を，（　）内は別称がある場合にその一つを示す。,注釈に山の所在都道府県を記載。,日本統計年鑑
115,0101020102010010010,[標高]アンナプルナⅠ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
116,0101020102010010020,[標高]イスモイリソモニ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
117,0101020102010010030,[標高]エベレスト（チョモランマ，サガルマータ）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
118,0101020102010010040,[標高]ガシャーブルムⅠ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
119,0101020102010010050,[標高]カンチェンジュンガ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
120,0101020102010010060,[標高]ゴドウィンオースチン（K2）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
121,0101020102010010070,[標高]コングル山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
122,0101020102010010080,[標高]ジェニチョクス（ポベジ）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
123,0101020102010010090,[標高]シシャパンマ フェン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
124,0101020102010010100,[標高]ダウラギリⅠ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
125,0101020102010010110,[標高]チョーオユ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
126,0101020102010010120,[標高]チリチュミール山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
127,0101020102010010130,[標高]ナンガパルバット山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
128,0101020102010010140,[標高]ハンテンリ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
129,0101020102010010150,[標高]マカルウ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
130,0101020102010010160,[標高]マナスル山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
131,0101020102010010170,[標高]ミニャコンカ（ゴンガシャン）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
132,0101020102010010180,[標高]ムスターグアタ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
133,0101020102010010190,[標高]ムスターグ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
134,0101020102010010200,[標高]ローツェ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
135,0101020102020010010,[標高]オリサバ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
136,0101020102020010020,[標高]セントエリアス山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
137,0101020102020010030,[標高]デナリ（マッキンリー）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
138,0101020102020010040,[標高]ポポカテペトル山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
139,0101020102020010050,[標高]ローガン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
140,0101020102030010010,[標高]アコンカグア山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
141,0101020102030010020,[標高]オーホスデルサラド山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
142,0101020102030010030,[標高]ツプンガト山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
143,0101020102030010040,[標高]ピシス山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
144,0101020102030010050,[標高]ボネテ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
145,0101020102040010010,[標高]ドム山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
146,0101020102040010020,[標高]バイスホルン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
147,0101020102040010030,[標高]マッターホルン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
148,0101020102040010040,[標高]モン ブラン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
149,0101020102040010050,[標高]モンテ ローザ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
150,0101020102050010010,[標高]キリマンジャロ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
151,0101020102050010020,[標高]ケニヤ（キリニヤガ）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
152,0101020102050010030,[標高]メルー山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
153,0101020102050010040,[標高]ラスデジェン山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
154,0101020102050010050,[標高]ルウェンゾリ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
155,0101020102060010010,[標高]ジャヤ（カルステンツ）山,,3,1,1,m,2017CY00,9999CY00,山=（）内は別名。,注釈に山の所在（国又は地域）を記載。,理科年表
156,0101020102060010020,[標高]トリコラ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
157,0101020102060010030,[標高]ビンソン マッシーフ山,,3,1,1,m,2017CY00,9999CY00,,注釈に山の所在（国又は地域）を記載。,理科年表
158,0101030101010010010,[長さ]石狩川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
159,0101030101010010020,[長さ]釧路川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
160,0101030101010010030,[長さ]尻別川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
161,0101030101010010040,[長さ]天塩川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
162,0101030101010010050,[長さ]十勝川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
163,0101030101010010060,[長さ]常呂川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
164,0101030101020010010,[長さ]阿武隈川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
165,0101030101020010020,[長さ]岩木川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
166,0101030101020010030,[長さ]雄物川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
167,0101030101020010040,[長さ]北上川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
168,0101030101020010050,[長さ]馬淵川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
169,0101030101020010060,[長さ]最上川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
170,0101030101020010070,[長さ]米代川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
171,0101030101030010010,[長さ]荒川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
172,0101030101030010020,[長さ]利根川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
173,0101030101030010030,[長さ]那珂川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
174,0101030101030010040,[長さ]相模川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
175,0101030101040010010,[長さ]木曽川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
176,0101030101040010020,[長さ]天竜川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
177,0101030101040010030,[長さ]富士川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
178,0101030101040010040,[長さ]矢作川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
179,0101030101050010010,[長さ]阿賀野川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
180,0101030101050010020,[長さ]九頭竜川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
181,0101030101050010030,[長さ]信濃川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
182,0101030101050010040,[長さ]神通川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
183,0101030101060010010,[長さ]加古川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
184,0101030101060010020,[長さ]紀の川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
185,0101030101060010030,[長さ]新宮川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
186,0101030101060010040,[長さ]由良川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
187,0101030101060010050,[長さ]淀川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
188,0101030101070010010,[長さ]旭川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
189,0101030101070010020,[長さ]太田川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
190,0101030101070010030,[長さ]江の川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
191,0101030101070010040,[長さ]高梁川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
192,0101030101070010050,[長さ]斐伊川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
193,0101030101070010060,[長さ]吉井川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
194,0101030101080010010,[長さ]仁淀川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
195,0101030101080010020,[長さ]吉野川,,3,2,1,km,2017CY00,9999CY00,,注釈に河川の所在都道府県を記載。,河川管理統計
